Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
Jaden McDaniels,MIN,PF,31.7,12.2,18.5,12.9,62,46,487,0.309,74.0,0.412,0.611,105.0,0.218,83.0,17,3.7,10.9,7.4,2.7,1.7,0.6,0,1,88,9,1,6,-0.150658560199689,0.5615168910604655,25.4,70.0,24.3,28.1,59.6,41.4
Peyton Watson,DEN,SF,29.6,9.7,20.6,12.3,44,31,285,0.339,82.0,0.411,0.594,102.0,0.325,123.0,16,3.6,14.4,9.3,3.6,1.5,-0.5,0,16,52,32,0,5,0.4732930505823211,-0.1155111500305267,22.7,64.5,29.6,42.2,41.9,44.1
Mikal Bridges,NYK,SF,32.8,15.9,17.3,7.6,44,23,774,0.436,105.0,0.371,0.587,101.0,0.102,39.0,11,3.3,9.7,6.5,2.4,2.0,1.4,0,8,65,27,0,0,-1.5280979265871488,-0.1473886256347955,34.4,68.3,18.7,40.4,57.7,26.8
Walker Kessler,UTA,C,30.8,13.7,16.5,25.9,8,3,36,0.216,52.0,0.75,0.786,135.0,0.541,205.0,2,15.7,22.3,18.9,5.6,2.1,1.7,0,0,0,0,100,3,6.456299870057117,-2.0761583879880563,11.8,64.0,84.8,88.0,32.8,76.2
Anfernee Simons,2TM,SG,24.9,14.6,23.6,9.1,33,26,337,0.585,141.0,0.385,0.576,99.0,0.119,45.0,10,2.5,8.1,5.4,0.6,1.0,-1.3,49,48,3,0,0,7,-2.9010666440111,0.1718432176459104,45.9,71.0,7.4,37.4,21.2,21.3
Jeremiah Fears,NOP,PG,25.8,19.9,25.5,13.8,105,50,656,0.304,73.0,0.33,0.525,90.0,0.245,93.0,28,3.0,12.4,7.7,1.3,2.2,-1.3,92,8,0,0,0,2,-0.7142087835454753,3.558393501485669,63.8,38.0,17.7,16.8,19.1,41.3
Cormac Ryan,MIL,SG,24.6,10.8,21.3,13.0,10,3,48,0.578,139.0,0.458,0.692,119.0,0.255,97.0,2,3.4,8.3,5.8,1.1,2.0,-1.8,20,72,8,0,0,7,-1.615227338398938,-1.3589601760522725,27.3,89.1,10.6,42.1,34.0,33.8
Scoot Henderson,POR,PG,24.9,22.8,25.0,15.9,46,18,279,0.474,114.0,0.352,0.553,95.0,0.292,111.0,5,2.6,9.1,5.8,1.1,1.7,-0.5,100,0,0,0,0,2,-1.4425145241604196,1.3446209923349015,61.7,48.2,10.9,28.8,17.4,29.4
P.J. Washington,DAL,PF,31.0,8.1,20.1,11.3,41,37,235,0.356,86.0,0.325,0.537,92.0,0.277,105.0,24,5.2,18.7,12.0,2.9,1.5,0.1,0,0,2,85,14,5,0.995200461898701,-0.3160551462240727,20.7,38.0,34.7,64.5,21.6,42.2
Ivica Zubac,2TM,C,30.1,11.3,19.2,13.6,30,32,249,0.0,0.0,0.0,0.622,107.0,0.295,112.0,22,13.3,27.2,20.4,2.6,0.6,-0.9,0,0,0,2,98,3,5.393182775071136,-1.0543335990797096,17.9,8.6,78.5,27.4,11.4,65.7
Tre Jones,CHI,PG,27.0,29.2,19.2,11.4,47,32,875,0.211,51.0,0.315,0.637,110.0,0.368,140.0,16,2.3,9.9,6.2,0.5,2.0,0.1,98,2,0,0,0,2,0.3987824726744242,2.761617756401029,68.8,35.9,13.1,5.7,25.1,52.1
Kelly Oubre Jr.,PHI,SF,31.5,7.3,18.2,10.2,26,26,184,0.439,106.0,0.36,0.58,100.0,0.267,101.0,20,3.4,14.2,8.7,1.4,2.1,-0.1,0,2,75,23,0,6,-0.5939131253261246,-0.8061535033689025,18.6,69.2,18.5,38.2,54.9,39.0
Santi Aldama,MEM,PF,27.9,15.7,20.2,9.5,32,15,311,0.42,101.0,0.35,0.572,98.0,0.239,91.0,17,6.0,20.2,13.0,2.4,1.5,0.4,0,0,9,84,7,5,0.6845183669130004,-0.8284004567895399,28.2,47.4,29.2,67.5,25.5,38.3
Keegan Murray,SAC,PF,34.5,6.8,18.7,7.7,11,12,91,0.373,90.0,0.277,0.499,86.0,0.163,62.0,3,4.5,14.4,9.3,4.2,1.5,-1.0,0,0,24,76,0,5,-0.7685944141540932,-2.3031747696503007,17.2,40.4,31.8,55.6,26.7,22.6
Devin Vassell,SAS,SG,30.5,11.0,18.0,6.9,34,17,399,0.572,138.0,0.384,0.574,99.0,0.172,65.0,11,2.1,11.8,7.1,1.1,1.3,0.3,16,54,31,0,0,7,-2.2491147350918497,-0.6004800319423296,31.1,78.2,12.3,39.0,44.4,24.4
Ace Bailey,UTA,SF,27.6,9.7,21.4,10.3,52,28,324,0.446,107.0,0.344,0.533,92.0,0.099,37.0,6,5.5,11.0,8.2,2.4,1.4,-2.5,0,4,51,41,5,0,-1.7325808185138782,-0.8365509882658697,25.8,60.1,23.1,48.3,30.3,21.9
Aaron Nesmith,IND,SF,29.7,9.4,19.8,10.1,28,18,212,0.541,130.0,0.379,0.554,95.0,0.217,82.0,14,3.8,11.6,7.6,1.5,0.9,-1.6,0,37,61,3,0,0,-1.8932017906961116,-0.9388974056686288,23.1,79.9,15.3,38.9,41.8,29.0
Brandin Podziemski,GSW,SG,28.5,19.2,20.1,11.9,72,31,789,0.476,115.0,0.371,0.583,100.0,0.278,106.0,19,3.4,16.9,10.0,0.6,1.8,-0.1,10,49,37,4,0,4,-0.675042206282622,1.5835664575208086,41.4,74.0,14.4,33.9,46.5,38.2
Jalen Suggs,ORL,PG,27.6,29.6,22.9,17.8,93,35,716,0.555,134.0,0.339,0.561,96.0,0.18,68.0,8,2.5,13.2,7.8,2.3,3.2,1.8,89,11,0,0,0,2,-1.3134271707599976,2.7408710363071047,69.3,55.0,15.5,38.8,39.6,23.3
De'Andre Hunter,2TM,SF,26.1,10.6,22.9,11.7,39,30,223,0.491,118.0,0.305,0.545,94.0,0.285,108.0,14,2.8,14.5,8.7,0.5,1.2,-1.5,0,4,59,37,0,5,-1.0496651629839864,-0.1656235414538761,26.1,64.8,13.4,42.5,35.2,32.5
Bobby Portis,MIL,PF,24.2,10.5,23.1,7.8,26,23,269,0.395,95.0,0.456,0.587,101.0,0.091,34.0,7,6.3,23.5,14.9,0.7,1.2,-1.6,0,0,8,68,24,5,-0.0824445975718951,-1.447018640720646,27.2,52.3,31.7,69.0,14.0,28.1
John Collins,LAC,PF,27.1,5.8,19.5,11.6,29,34,170,0.332,80.0,0.406,0.643,111.0,0.234,89.0,30,7.0,15.6,11.4,2.6,1.6,-0.5,0,0,0,89,10,5,1.3772176913415572,-0.814175854090154,17.2,46.8,32.3,65.6,19.5,52.8
Cedric Coward,MEM,SG,25.8,16.0,21.5,12.7,40,41,402,0.424,102.0,0.338,0.585,101.0,0.256,97.0,19,5.5,19.4,12.3,1.6,1.2,-0.6,1,65,30,4,0,7,0.0569058755913149,0.5093763195975114,30.7,72.5,22.7,32.6,40.3,40.5
Zach Edey,MEM,C,25.8,6.6,20.2,18.8,6,8,30,0.051,12.0,0.2,0.669,115.0,0.327,124.0,4,16.1,30.6,23.3,6.8,1.2,1.1,0,0,0,0,100,3,6.758938733276268,-2.9148056852734205,11.0,23.9,99.1,53.9,22.6,63.0
Ajay Mitchell,OKC,SG,25.8,20.1,21.8,10.9,47,24,506,0.298,72.0,0.347,0.585,101.0,0.275,104.0,18,3.1,10.6,7.0,1.2,2.3,1.6,13,40,43,4,0,6,-0.4376341952140825,1.0775089263693358,37.9,63.0,16.6,17.8,56.0,42.7
Naz Reid,MIN,C,26.1,12.4,22.1,12.0,60,41,422,0.514,124.0,0.362,0.565,97.0,0.141,54.0,17,5.0,20.8,13.1,3.4,1.8,1.0,0,0,0,45,55,5,0.6440227393169313,-0.0816639283927328,30.2,50.7,48.2,80.8,25.3,29.2
Cam Thomas,2TM,SG,21.0,21.0,30.3,12.1,33,29,270,0.364,88.0,0.31,0.53,91.0,0.367,139.0,19,1.4,8.1,4.6,0.4,0.5,-3.9,32,61,6,0,0,7,-1.5770369769653765,1.7426598253458636,47.8,58.9,9.0,15.5,8.3,40.5
Tim Hardaway Jr.,DEN,SG,26.6,6.9,18.5,4.7,20,14,253,0.706,170.0,0.407,0.624,107.0,0.252,95.0,14,0.9,9.5,5.4,0.4,1.0,-1.9,4,54,40,2,0,0,-2.6785338920002824,-1.1495333379984165,25.2,93.2,5.4,48.0,37.2,28.5
Reed Sheppard,HOU,SG,26.2,18.6,21.7,11.1,81,32,661,0.609,147.0,0.394,0.564,97.0,0.091,34.0,8,1.5,10.7,6.1,2.3,2.8,1.5,29,64,8,0,0,7,-2.599868671512716,1.2658733181710549,46.8,77.1,14.0,44.3,50.2,16.5
Toumani Camara,POR,PF,33.3,10.4,16.3,13.1,92,38,508,0.664,160.0,0.37,0.578,99.0,0.154,58.0,12,5.0,11.7,8.4,1.1,1.6,0.0,0,0,2,84,14,5,-1.308878763884059,0.0629868950191949,26.0,59.0,16.8,82.6,23.8,24.0
Quentin Grimes,PHI,SG,29.4,15.7,19.0,13.4,64,47,590,0.503,121.0,0.334,0.585,101.0,0.314,119.0,20,2.2,11.4,6.7,1.2,1.4,-0.6,1,55,43,0,0,4,-0.9891389793950018,1.4422579188727256,32.0,77.1,12.8,31.1,46.0,38.8
Jordan Poole,NOP,PG,23.9,18.3,25.1,12.3,36,29,269,0.649,156.0,0.333,0.53,91.0,0.257,97.0,12,1.0,7.9,4.4,1.5,1.1,-2.6,41,59,1,0,0,7,-2.822380766738887,0.8309674889639551,46.2,72.1,8.0,40.8,17.6,22.8
Tobias Harris,DET,PF,27.7,12.5,18.8,8.0,23,25,368,0.338,82.0,0.368,0.574,99.0,0.238,90.0,24,3.6,16.9,10.4,1.5,1.6,0.8,0,0,0,99,1,5,0.3606335383320916,-0.4613246727421912,25.4,40.4,22.5,61.1,24.9,42.1
Keldon Johnson,SAS,SF,23.3,8.5,21.0,7.4,28,28,266,0.343,83.0,0.363,0.613,105.0,0.243,92.0,20,7.9,16.6,12.4,0.5,1.2,-0.3,0,22,62,16,0,5,0.2715806265672834,-0.7119672554074366,23.4,68.7,21.1,29.6,45.6,46.8
Jaylon Tyson,CLE,SG,26.9,11.6,19.3,12.1,54,30,367,0.445,107.0,0.446,0.608,105.0,0.16,61.0,18,7.3,13.6,10.5,1.5,1.5,-0.5,0,23,55,23,0,0,-0.6125859233460784,-0.3051528507669225,25.2,75.3,20.3,44.9,45.1,37.7
Kyle Kuzma,MIL,PF,26.2,15.5,21.8,13.4,46,41,456,0.347,84.0,0.347,0.581,100.0,0.27,102.0,28,3.6,15.9,9.8,1.5,1.3,-1.3,0,5,52,43,0,5,0.1619628108274587,0.8668722182787845,30.4,58.7,20.8,39.1,34.7,45.9
Brandon Williams,DAL,PG,22.2,26.3,25.1,14.3,77,38,603,0.251,61.0,0.232,0.572,98.0,0.493,187.0,28,2.2,11.6,6.9,1.2,2.0,0.3,99,1,0,0,0,2,0.9986306076415704,3.7501760229300594,67.7,31.9,16.4,6.8,22.7,58.2
Sam Merrill,CLE,SG,26.5,12.3,17.0,7.5,25,11,290,0.775,187.0,0.421,0.644,111.0,0.143,54.0,8,2.2,8.4,5.3,0.5,1.2,-1.0,0,36,54,10,0,0,-3.065378269748738,-1.4860851947039169,26.7,97.9,3.5,57.1,44.6,20.6
Collin Gillespie,PHO,PG,28.5,23.3,18.7,12.4,68,36,903,0.686,165.0,0.401,0.575,99.0,0.103,39.0,9,4.2,12.0,8.0,0.7,2.1,0.6,88,12,0,0,0,2,-2.4150386980451124,1.7429976372198142,67.0,64.9,7.7,48.4,29.9,18.4
Deandre Ayton,LAL,C,27.2,4.5,16.7,11.1,20,35,144,0.0,0.0,0.0,0.676,116.0,0.235,89.0,13,11.5,22.6,17.2,3.3,1.0,-0.9,0,0,0,0,100,3,4.853871112200535,-2.033677317713392,9.9,11.5,79.1,26.3,15.4,60.7
GG Jackson II,MEM,PF,21.4,10.7,23.5,12.8,29,36,200,0.375,90.0,0.332,0.591,102.0,0.294,111.0,19,4.4,17.4,10.8,3.4,1.2,-1.2,0,0,23,33,43,5,1.2141883339406845,-0.3576973680667054,24.9,50.8,44.3,57.8,21.2,43.4
Malik Monk,SAC,SG,22.0,20.6,24.0,11.8,65,20,429,0.497,120.0,0.395,0.568,98.0,0.169,64.0,6,1.2,8.6,4.8,1.6,1.3,-2.1,35,57,8,0,0,7,-2.5433848491252324,0.927367377889682,46.5,70.0,11.5,33.0,23.7,22.9
Maxime Raynaud,SAC,C,26.5,7.6,18.2,11.2,34,31,234,0.11,27.0,0.324,0.619,106.0,0.25,95.0,16,7.9,24.3,15.8,1.8,0.9,-1.6,0,0,0,0,100,1,3.148976380279535,-1.1135607524688935,16.1,28.4,68.9,46.5,11.3,52.5
Jaylen Wells,MEM,SG,26.4,8.8,19.3,8.7,39,22,270,0.523,126.0,0.353,0.559,96.0,0.245,93.0,14,3.6,9.6,6.5,0.5,1.6,-1.4,0,9,77,13,1,0,-1.8922677468334803,-0.629947725094157,23.5,75.1,10.8,36.9,48.1,31.2
Max Christie,DAL,SG,29.1,9.3,16.5,10.9,43,35,358,0.615,148.0,0.404,0.601,103.0,0.192,73.0,9,0.7,10.9,5.9,1.0,1.0,-0.6,26,68,5,1,0,7,-2.337512681789558,-0.1086624681559533,29.7,78.8,9.8,42.4,32.3,24.0
Noah Clowney,BRK,PF,27.0,9.5,20.4,12.3,37,41,271,0.621,150.0,0.329,0.554,95.0,0.355,135.0,14,3.2,15.3,8.9,2.3,1.4,-1.1,0,0,15,81,4,5,-0.3300664110607352,-0.2178793578709526,25.0,58.5,19.8,75.7,21.3,33.2
De'Anthony Melton,GSW,PG,23.0,16.9,25.4,13.5,45,35,310,0.464,112.0,0.294,0.518,89.0,0.229,87.0,12,3.8,12.0,7.8,1.6,3.3,0.1,76,24,0,0,0,2,-1.3745586011848712,1.331952899629161,53.2,49.4,16.3,27.9,35.1,28.4
Jonathan Kuminga,2TM,PF,23.1,14.7,23.4,14.6,33,22,204,0.31,75.0,0.333,0.557,96.0,0.363,138.0,15,6.4,20.7,13.4,1.2,1.3,-0.5,0,0,1,79,20,5,1.5960375810304015,-0.2128695867984227,26.3,38.1,31.6,58.7,16.0,46.1
Donte DiVincenzo,MIN,SG,30.4,16.8,16.9,11.8,79,26,724,0.771,186.0,0.379,0.567,98.0,0.126,48.0,8,3.0,11.6,7.4,1.2,2.0,0.7,44,50,6,0,0,7,-2.8250392386863017,0.8088761171847132,47.4,79.8,8.3,54.4,40.5,15.0
Cameron Johnson,DEN,SF,30.5,10.6,15.1,8.2,25,17,312,0.539,130.0,0.43,0.629,108.0,0.236,89.0,11,3.1,10.6,7.0,1.2,1.2,-0.9,0,0,36,62,2,0,-1.152581733111985,-1.3518868283930476,21.6,67.9,13.9,62.6,31.6,33.4
Tre Johnson,WAS,SG,24.1,12.4,22.5,11.9,42,39,295,0.496,120.0,0.358,0.535,92.0,0.134,51.0,5,2.1,10.7,6.3,1.1,1.1,-2.9,13,71,16,0,0,7,-2.7400660135612136,0.1102962663190394,31.6,71.7,12.6,31.2,26.0,19.0
Duncan Robinson,DET,SG,27.4,10.1,15.8,6.7,32,13,357,0.768,185.0,0.41,0.629,108.0,0.158,60.0,13,1.6,9.2,5.4,1.0,1.0,-0.1,1,62,31,7,0,0,-2.907856942721873,-1.1776070973786523,25.8,95.7,6.1,56.2,43.5,22.4
Donovan Clingan,POR,C,27.2,11.4,16.9,10.9,43,30,381,0.36,87.0,0.341,0.604,104.0,0.297,113.0,24,17.7,28.6,23.1,5.5,1.0,0.6,0,0,0,0,100,1,4.898267015770842,-1.404335791548694,22.5,41.9,86.9,81.5,21.0,58.5
Moses Moody,GSW,SG,25.7,9.2,18.3,8.6,30,16,246,0.677,163.0,0.401,0.6,103.0,0.203,77.0,11,3.6,11.0,7.2,2.0,1.8,-0.3,0,18,61,21,0,0,-1.915799565532804,-1.3157519805576892,23.9,86.1,14.2,57.8,49.8,26.0
Christian Braun,DEN,SG,31.8,11.4,14.8,9.0,21,11,291,0.368,89.0,0.301,0.607,104.0,0.26,99.0,14,5.1,11.5,8.4,0.8,1.0,-0.9,0,42,42,16,0,0,-0.587842051748686,-1.1822025787296495,19.5,64.2,16.6,25.5,41.2,41.2
Josh Hart,NYK,SF,30.2,21.6,16.7,16.5,71,33,785,0.409,98.0,0.413,0.612,105.0,0.211,80.0,20,5.2,22.1,13.6,0.9,1.9,2.0,0,41,51,9,0,4,0.4284318124828813,1.223867500571791,35.0,74.9,20.9,36.6,60.8,40.8
Miles McBride,NYK,SG,26.3,13.5,18.2,7.2,13,12,260,0.671,162.0,0.413,0.578,99.0,0.116,44.0,4,2.5,7.9,5.2,0.9,1.6,0.2,33,67,0,0,0,7,-3.288286258180144,-1.09747490638349,35.8,79.6,6.9,45.9,36.4,15.9
Dyson Daniels,ATL,SG,33.2,23.9,16.0,14.0,78,38,1094,0.151,36.0,0.188,0.542,93.0,0.157,60.0,21,7.8,14.7,11.2,1.1,2.8,1.8,1,46,52,1,0,4,0.373652290385398,1.9800939757530769,39.6,46.9,23.5,0.8,67.8,43.3
Blake Hinson,UTA,SF,20.4,8.3,18.3,3.9,3,1,36,0.687,165.0,0.468,0.684,118.0,0.139,53.0,2,4.1,8.6,6.3,0.7,0.8,-3.0,0,0,3,69,28,0,-1.9407654845157805,-2.997143862807764,21.0,73.0,17.3,86.2,6.3,24.7
Myles Turner,MIL,C,26.9,7.7,18.6,10.3,26,26,261,0.594,143.0,0.383,0.584,101.0,0.274,104.0,19,4.5,17.8,11.2,6.0,1.3,0.0,0,0,0,0,100,1,1.3966498595480898,-1.3726617169019033,22.2,56.2,70.6,92.2,19.9,35.5
Wendell Carter Jr.,ORL,C,29.3,9.5,15.6,11.8,30,31,374,0.355,85.0,0.319,0.617,106.0,0.392,149.0,20,7.8,20.5,14.1,1.9,1.3,0.5,0,0,0,0,100,1,3.005001594362698,-0.6840261610921691,19.6,41.1,62.1,63.7,23.3,54.2
Dylan Harper,SAS,SG,22.6,24.7,21.8,12.3,43,34,663,0.271,65.0,0.343,0.574,99.0,0.181,69.0,19,3.8,12.1,8.1,1.4,1.7,1.1,9,60,31,0,0,7,-0.6212458262084778,1.4247869381953582,41.9,62.3,18.5,15.5,49.4,39.0
Julian Reese,WAS,PF,30.9,8.4,17.7,18.8,11,12,58,0.0,0.0,0.0,0.557,96.0,0.37,140.0,4,14.4,22.3,18.3,1.7,2.1,-2.2,0,0,0,4,96,3,4.477649025982765,-2.026054334260184,9.7,3.6,72.1,23.5,17.3,57.2
Nic Claxton,BRK,C,27.8,21.8,17.7,12.3,35,28,616,0.033,8.0,0.158,0.592,102.0,0.393,149.0,31,9.6,19.9,14.5,3.7,1.2,0.6,0,0,0,0,100,1,4.61352710325767,0.5511038539840089,30.4,14.7,74.3,35.4,22.0,68.7
Isaiah Collier,UTA,PG,25.7,39.2,20.4,19.6,86,39,1033,0.194,47.0,0.27,0.567,97.0,0.406,154.0,20,1.5,9.4,5.3,1.3,2.0,-1.8,52,46,2,0,0,2,0.1096509887147127,4.296397436982827,64.8,41.2,14.1,3.2,26.8,50.7
Bilal Coulibaly,WAS,SG,26.2,13.9,19.9,11.6,44,27,354,0.377,91.0,0.319,0.531,91.0,0.327,124.0,16,3.5,14.5,8.9,3.2,2.4,-0.4,2,41,50,7,0,6,-0.2880435764852651,0.2794106387082978,27.0,64.2,26.2,29.9,52.9,38.5
Derik Queen,NOP,C,25.0,21.1,21.8,18.0,91,67,683,0.118,28.0,0.261,0.546,94.0,0.365,138.0,26,7.2,23.5,15.2,3.5,2.0,0.7,0,0,0,16,84,1,3.887307643675755,2.4673187296520056,34.4,22.4,67.3,47.4,25.7,57.0
Klay Thompson,DAL,SF,21.7,9.5,22.7,7.8,33,20,218,0.724,174.0,0.383,0.541,93.0,0.065,24.0,0,1.3,8.8,5.1,1.2,1.0,-1.5,5,38,53,5,0,0,-3.978214925923395,-1.2406155294944707,29.9,88.5,7.5,50.9,38.5,6.2
Mark Williams,PHO,C,23.6,6.3,17.4,11.2,17,18,144,0.002,1.0,1.0,0.68,117.0,0.4,152.0,28,14.0,23.7,18.7,3.7,1.9,0.5,0,0,0,0,100,1,4.890139428305922,-1.2876355766149794,11.7,55.7,82.2,79.8,26.4,78.6
Obi Toppin,IND,PF,17.7,21.2,24.8,11.3,16,8,132,0.528,127.0,0.352,0.636,109.0,0.231,88.0,4,3.3,24.4,13.6,0.2,1.3,-0.4,0,0,3,94,3,5,0.2273938855759056,-1.1558327909745505,33.7,57.9,16.8,73.4,16.4,30.9
Jarace Walker,IND,PF,25.7,14.3,20.7,14.6,69,53,448,0.486,117.0,0.374,0.543,93.0,0.25,95.0,15,2.7,19.5,10.9,1.1,1.5,-0.7,0,2,58,40,0,5,-0.5592874666199403,0.942056583010553,29.5,65.7,18.0,50.0,40.6,31.1
Rui Hachimura,LAL,PF,28.3,4.1,15.2,6.3,19,11,140,0.439,106.0,0.443,0.62,107.0,0.121,46.0,6,2.6,10.9,6.9,1.0,1.0,-1.5,0,0,1,89,10,5,-1.4172245596556003,-2.3883239832614147,13.9,51.6,18.6,68.0,14.2,27.1
Kyle Filipowski,UTA,C,23.4,15.7,20.0,14.3,61,40,466,0.347,84.0,0.325,0.586,101.0,0.323,122.0,17,8.4,25.1,16.6,2.1,1.9,-0.5,0,0,0,16,84,1,2.802441222138805,0.3221550209628771,28.7,40.3,59.8,66.1,21.3,47.7
Pelle Larsson,MIA,SG,26.4,16.8,16.8,13.3,62,27,563,0.343,83.0,0.323,0.605,104.0,0.413,157.0,26,3.8,9.9,6.8,0.8,1.2,0.0,1,28,68,3,0,4,0.1985583645284154,1.2087378125767534,28.5,68.3,14.3,18.6,52.4,54.2
Scotty Pippen Jr.,MEM,PG,21.2,33.8,26.1,20.3,16,5,114,0.333,80.0,0.313,0.537,92.0,0.24,91.0,1,4.0,7.3,5.6,1.7,4.2,-0.3,100,0,0,0,0,2,-1.290641669640546,1.1024198154990072,64.3,37.8,14.1,17.2,34.4,29.1
Sandro Mamukelashvili,TOR,C,21.9,12.4,18.8,8.7,37,12,366,0.469,113.0,0.389,0.637,110.0,0.25,95.0,22,6.9,18.8,12.8,2.3,1.8,0.7,0,0,0,8,93,1,1.69904422473843,-1.0049829628085212,26.4,53.1,57.1,76.2,25.8,45.2
Max Strus,CLE,SF,24.0,11.3,17.4,7.6,7,2,55,0.774,186.0,0.402,0.609,105.0,0.085,32.0,0,3.5,21.3,12.4,0.0,0.5,-1.3,0,1,36,63,0,0,-2.1354513910704958,-2.968247307503006,22.3,79.8,10.2,80.7,24.4,12.5
Julian Champagnie,SAS,SF,27.6,7.3,15.2,8.4,43,14,310,0.743,179.0,0.381,0.609,105.0,0.196,74.0,8,3.6,18.4,11.2,1.5,1.3,0.8,0,5,52,43,1,0,-1.2415086964307496,-1.7108658158729275,21.5,82.2,16.3,72.7,46.0,22.9
Isaiah Joe,OKC,SG,21.2,8.6,18.4,7.0,23,14,235,0.788,190.0,0.423,0.657,113.0,0.227,86.0,8,2.5,10.2,6.5,0.7,1.6,0.5,55,46,0,0,0,7,-2.28351365319256,-0.9181851197442163,39.3,86.5,6.1,56.0,33.2,25.7
Cam Spencer,MEM,SG,23.8,33.1,17.2,13.1,68,19,946,0.585,141.0,0.449,0.649,112.0,0.241,91.0,12,2.5,9.2,5.8,0.6,1.4,-0.8,53,43,4,0,0,2,-1.7167426446892249,2.039440518531246,62.3,75.5,5.2,41.0,28.4,33.7
Kel'el Ware,MIA,C,22.1,4.6,18.0,8.2,28,18,139,0.359,86.0,0.395,0.616,106.0,0.148,56.0,10,13.1,29.2,21.1,4.4,1.6,0.1,0,0,0,0,100,1,3.2369786995021417,-2.756088534857708,15.6,45.4,81.2,79.9,22.6,41.3
Alondes Williams,WAS,SG,25.3,16.8,14.3,14.5,4,0,27,0.538,130.0,0.357,0.745,128.0,0.308,117.0,2,5.2,21.7,13.3,2.6,1.4,-0.5,0,53,43,4,0,6,1.0281590593722882,-2.316128614799953,18.0,89.0,25.5,45.5,48.3,43.0
Rudy Gobert,MIN,C,31.3,7.2,12.9,14.5,37,40,326,0.01,2.0,0.0,0.664,114.0,0.615,233.0,26,14.1,25.9,20.1,4.5,1.2,0.9,0,0,0,0,100,3,7.67324591946702,-0.5747617833296792,10.3,9.8,86.8,32.4,25.5,87.2
Jusuf Nurkić,UTA,C,26.4,25.4,19.3,19.9,56,22,454,0.198,48.0,0.352,0.548,94.0,0.316,120.0,11,10.3,32.6,21.2,2.0,2.3,1.6,0,0,0,0,100,1,4.057238397654594,0.248642494414347,31.0,30.1,71.8,59.9,32.4,47.8
Dennis Schröder,2TM,PG,24.2,27.7,21.0,14.7,77,32,805,0.362,87.0,0.329,0.526,90.0,0.326,124.0,20,2.1,10.5,6.2,0.6,1.6,-1.3,100,0,0,0,0,2,-1.013751302241527,3.1997311456857083,69.5,37.5,10.8,18.2,15.7,39.2
Tyler Burton,MEM,SF,25.6,5.4,18.3,8.2,9,1,29,0.589,142.0,0.333,0.521,90.0,0.241,91.0,5,2.8,15.1,8.8,1.2,1.7,-1.9,0,0,28,48,25,5,-1.5764073142017665,-2.371757069364875,16.8,57.7,23.7,66.3,26.4,21.3
Daeqwon Plowden,SAC,SG,26.4,6.7,16.4,8.0,11,10,100,0.667,161.0,0.333,0.572,98.0,0.176,67.0,8,4.2,8.7,6.4,0.8,1.3,-2.3,6,38,46,10,0,0,-2.7906142304425026,-2.05240204000247,19.5,80.8,9.0,46.0,37.8,22.0
Bub Carrington,WAS,PG,27.7,23.0,18.0,19.5,142,33,886,0.559,135.0,0.408,0.556,96.0,0.15,57.0,7,1.5,11.7,6.5,0.7,1.1,-2.5,87,13,0,0,0,2,-2.412073645047031,2.9258460869751537,62.3,56.7,8.4,37.8,11.9,20.0
Jakob Poeltl,TOR,C,25.0,11.7,15.3,13.9,26,11,216,0.0,0.0,0.0,0.698,120.0,0.316,120.0,12,11.2,20.8,16.0,2.7,1.7,1.4,0,0,0,0,100,3,5.243682902670805,-1.7393579357329096,13.7,12.5,74.2,23.8,29.6,65.7
Jock Landale,2TM,C,22.1,11.1,18.3,9.0,24,12,289,0.352,85.0,0.383,0.595,102.0,0.23,87.0,6,12.9,14.9,13.9,2.2,1.1,-1.0,0,0,0,0,100,1,1.7415907435660516,-1.956118780225854,22.5,43.1,62.9,67.3,14.9,42.1
Marvin Bagley III,2TM,PF,20.0,10.8,18.6,11.4,22,21,210,0.127,30.0,0.462,0.661,114.0,0.35,133.0,14,13.2,19.3,16.3,3.1,1.1,-1.0,0,0,0,2,98,1,4.07401257440813,-1.4443100872331414,18.2,38.5,73.2,58.3,14.7,63.7
Tari Eason,HOU,PF,25.8,8.0,18.7,11.7,38,20,216,0.448,108.0,0.358,0.514,88.0,0.116,44.0,11,9.0,17.8,13.5,1.7,2.3,0.2,0,1,58,39,2,5,-0.7026340447706291,-1.4683791807388598,19.8,59.8,25.9,50.4,50.2,26.7
Adama-Alpha Bal,MEM,SG,30.1,10.6,13.5,7.7,2,2,47,0.647,156.0,0.409,0.573,99.0,0.147,56.0,1,2.6,8.7,5.6,0.4,1.8,-1.8,0,14,51,31,4,0,-3.080381290982956,-2.6244311498931787,16.6,77.0,7.6,56.0,41.7,16.5
A.J. Green,MIL,SG,29.1,9.2,14.0,10.4,38,23,384,0.896,216.0,0.419,0.627,108.0,0.1,38.0,3,1.5,9.1,5.3,0.4,0.8,-1.8,17,61,22,0,0,0,-3.868811130218525,-1.2295462474000058,28.3,99.6,1.2,62.3,32.8,10.7
