Player,Team,Pos,MP,AST%,USG%,TOV%,BadPass,LostBall,PGA,3PAr,3PAr+,3P%,TS%,TS+,FTr,FTr+,And1,ORB%,DRB%,TRB%,BLK%,STL%,DBPM,PG%,SG%,SF%,PF%,C%,Cluster,PCA1,PCA2,Primary Creator_Score,Shooting Wing_Score,Rim Protector_Score,Stretch Big_Score,Defensive Wing_Score,Interior Finisher_Score
Dillon Brooks,PHO,SF,30.4,9.6,28.6,8.6,33,31,240,0.385,93.0,0.344,0.54,93.0,0.211,80.0,13,2.7,10.8,6.6,0.5,1.7,-1.3,0,0,7,91,2,5,-1.226065438794821,-0.0170935162705637,31.1,45.3,13.8,55.2,15.3,30.9
Brandon Miller,CHO,SF,30.3,17.8,28.1,12.5,81,47,553,0.511,123.0,0.383,0.574,99.0,0.214,81.0,18,4.1,14.0,9.2,2.1,1.7,-0.1,0,3,87,10,0,4,-0.8506472506840641,1.5836240762893286,41.7,81.4,19.0,42.2,52.1,33.3
Bam Adebayo,MIA,C,32.4,14.1,25.0,8.3,46,52,574,0.349,84.0,0.318,0.551,95.0,0.369,140.0,39,6.5,25.7,16.1,1.8,1.7,0.4,0,0,0,21,79,1,2.793531111567141,1.3804744137879277,36.2,39.5,56.5,64.8,20.9,56.4
LaMelo Ball,CHO,PG,28.0,42.6,32.0,13.2,114,49,1263,0.595,143.0,0.368,0.546,94.0,0.144,55.0,15,3.7,15.5,9.7,0.8,2.1,-0.1,94,6,0,0,0,2,-1.728433018233773,4.984150881630856,99.2,59.5,9.0,41.5,19.4,23.5
Desmond Bane,ORL,SG,33.6,19.3,23.3,10.8,79,48,817,0.354,85.0,0.391,0.607,104.0,0.287,109.0,37,3.9,9.8,6.8,1.2,1.5,-0.2,2,69,29,0,0,4,-0.3896246279052668,2.756212456375472,42.0,73.8,15.3,22.7,43.4,52.9
Karl-Anthony Towns,NYK,C,31.0,14.7,25.9,13.3,50,59,520,0.297,72.0,0.368,0.619,106.0,0.403,153.0,56,11.2,31.7,21.4,1.8,1.4,0.6,0,0,0,0,100,1,5.056141596628024,1.773389345018206,34.5,43.8,70.9,67.9,19.2,76.6
Jimmy Butler,GSW,SF,31.1,24.3,23.3,9.3,34,16,474,0.184,44.0,0.376,0.646,111.0,0.621,236.0,31,8.2,11.8,10.0,0.6,2.3,0.5,0,6,39,54,0,4,2.741824492423205,1.4803929335816448,37.4,52.1,19.4,30.3,42.6,78.5
Ty Jerome,MEM,SG,22.6,44.9,32.7,10.1,8,9,202,0.465,112.0,0.42,0.616,106.0,0.26,99.0,10,3.5,10.1,6.7,1.1,2.2,-0.6,26,64,10,0,0,7,-1.4051533433655108,1.3562885780940044,64.4,78.3,8.8,32.3,33.4,35.8
Jalen Duren,DET,C,28.2,11.0,23.6,11.6,47,44,318,0.0,0.0,0.0,0.688,118.0,0.535,203.0,55,15.3,26.4,20.9,3.0,1.4,0.5,0,0,0,0,100,3,7.656213809544907,0.8811007165529033,23.8,14.8,81.4,28.8,20.0,100.0
Ja Morant,MEM,PG,28.5,45.1,32.5,16.0,48,20,384,0.264,64.0,0.235,0.521,90.0,0.363,138.0,9,1.5,11.0,6.2,1.0,1.7,-2.0,100,0,0,0,0,2,-0.6193192824592568,3.3307870316112,83.2,31.7,11.7,6.9,7.9,37.9
Jaren Jackson Jr.,2TM,C,30.3,10.4,26.2,11.7,27,32,237,0.327,79.0,0.357,0.576,99.0,0.282,107.0,27,3.1,17.4,10.1,4.4,1.7,0.5,0,0,0,55,45,5,1.5263080607647856,-0.0120618220441506,27.8,42.1,49.1,66.0,20.7,45.8
RJ Barrett,TOR,SF,30.3,16.8,25.8,9.5,57,24,446,0.347,84.0,0.339,0.585,101.0,0.342,130.0,32,3.6,16.3,9.9,1.1,1.2,-0.7,0,55,39,6,0,4,0.1565005148332331,1.360789947740664,36.1,69.7,19.2,24.2,39.3,51.7
Zach LaVine,SAC,SG,31.4,11.2,23.7,10.8,31,29,211,0.464,112.0,0.39,0.614,106.0,0.26,98.0,10,0.7,9.4,4.9,0.8,1.1,-2.2,33,37,25,5,0,7,-1.71235344476227,0.153895919797254,35.6,70.7,10.5,30.3,24.8,33.3
Darius Garland,2TM,PG,29.9,34.9,27.4,15.2,83,39,712,0.458,110.0,0.396,0.582,100.0,0.182,69.0,7,1.5,7.4,4.5,0.6,1.6,-2.4,92,8,0,0,0,2,-2.2277541776241394,3.2478213250575814,77.5,54.3,5.8,27.5,9.9,26.4
